"state","points","price"
"california",96,235
"california",96,90
"oregon",96,65
"oregon",95,65
"california",95,60
"oregon",95,48
"oregon",95,48
"oregon",95,185
"oregon",95,90
"california",95,325
"california",95,75
"california",95,24
"california",95,60
"california",95,45
"oregon",94,62
"oregon",94,105
"california",94,60
"washington",94,60
"california",90,37
"washington",90,42
"idaho",90,55
"california",90,60
"washington",90,40
"california",90,18
"washington",90,69
"new york",90,25
"washington",90,30
"california",91,36
"california",91,85
"oregon",91,50
"california",91,60
"california",91,85
"california",91,45
"oregon",91,19
"oregon",91,54
"california",91,38
"california",91,28
"oregon",91,42
"california",91,22
"california",91,65
"california",91,50
"california",86,10
"california",86,13
"california",86,18
"california",86,36
"california",86,24
"california",86,50
"california",86,48
"california",86,20
"washington",86,17
"california",86,12
"california",86,10
"california",86,13
"california",86,45
"california",86,125
"new york",86,25
"california",91,59
"california",91,49
"california",91,42
"california",91,93
"california",91,32
"california",91,20
"california",90,100
"california",90,50
"california",90,45
"california",90,26
"california",90,16
"california",90,30
"california",90,42
"california",90,38
"california",90,48
"california",90,28
"california",90,25
"oregon",90,26
"california",90,24
"california",90,55
"california",90,36
"california",90,40
"california",90,28
"oregon",89,50
"oregon",89,24
"california",89,42
"oregon",89,35
"california",89,16
"california",89,23
"oregon",89,36
"california",89,25
"california",89,42
"california",89,49
"california",89,29
"california",88,25
"california",88,25
"california",88,49
"washington",88,20
"washington",88,34
"california",88,38
"california",88,38
"california",87,10
"washington",87,18
"new york",87,18
"new york",87,14
"new york",87,14
"new york",87,40
"washington",87,10
"washington",87,11
"washington",87,36
"new york",87,20
"washington",87,32
"california",93,50
"washington",93,58
"california",93,38
"california",93,50
"california",93,50
"washington",93,80
"california",93,40
"washington",93,48
"california",93,200
"washington",93,39
"washington",93,62
"california",88,28
"oregon",88,36
"california",88,24
"california",88,30
"california",88,25
"oregon",88,60
"california",88,54
"oregon",88,15
"california",88,20
"california",88,61
"california",88,40
"california",88,39
"california",88,16
"california",88,32
"california",88,18
"california",92,58
"california",92,50
"california",92,48
"california",92,32
"california",92,43
"california",92,100
"california",92,35
"oregon",91,60
"oregon",91,16
"california",91,42
"california",91,20
"california",91,38
"california",91,32
"washington",94,60
"california",94,30
"california",94,30
"california",94,65
"oregon",94,90
"california",94,85
"california",94,70
"oregon",94,70
"california",94,60
"california",94,155
"oregon",94,48
"california",94,95
"california",94,80
"oregon",94,49
"washington",94,50
"california",94,95
"oregon",94,63
"california",91,50
"california",91,45
"california",91,38
"oregon",91,30
"california",91,22
"california",91,60
"california",91,55
"california",91,48
"california",91,40
"california",91,50
"oregon",91,48
"oregon",91,50
"california",91,40
"oregon",91,42
"california",90,41
"california",90,27
"oregon",90,29
"oregon",90,19
"oregon",90,15
"oregon",90,45
"oregon",90,18
"california",90,15
"california",90,15
"california",90,24
"california",90,80
"california",90,50
"california",90,28
"california",90,36
"california",90,40
"california",90,50
"california",90,75
"washington",90,46
"california",90,20
"california",90,75
"california",90,28
"california",90,60
"california",90,22
"california",90,30
"california",90,35
"california",90,38
"california",90,22
"washington",87,36
"california",87,30
"new york",87,20
"washington",87,32
"washington",87,20
"california",87,30
"california",87,20
"idaho",87,23
"washington",87,22
"california",87,20
"idaho",87,22
"idaho",87,16
"idaho",87,17
"idaho",87,38
"california",86,26
"california",86,32
"california",86,18
"washington",86,35
"california",86,34
"california",86,31
"california",86,24
"washington",86,12
"california",86,18
"california",86,24
"california",86,14
"california",86,38
"california",86,12
"california",86,32
"california",86,28
"california",89,49
"oregon",89,35
"california",89,30
"oregon",89,46
"oregon",89,50
"california",89,43
"california",89,39
"california",89,65
"oregon",89,35
"california",89,60
"oregon",89,44
"california",92,30
"california",92,45
"california",92,125
"california",92,98
"california",92,40
"california",92,60
"california",92,68
"washington",92,32
"california",92,45
"washington",92,66
"california",92,32
"california",92,55
"california",92,20
"california",92,32
"washington",92,35
"california",92,44
"california",90,24
"california",90,20
"california",90,23
"california",90,49
"california",90,35
"oregon",90,18
"california",90,42
"oregon",90,48
"california",90,30
"california",90,40
"california",90,22
"california",90,15
"california",90,15
"california",94,62
"oregon",94,49
"california",94,95
"california",94,55
"california",94,48
"california",94,68
"oregon",94,90
"california",93,60
"washington",93,125
"california",93,85
"california",93,60
"california",93,55
"california",93,58
"oregon",93,48
"california",93,40
"california",93,60
"california",93,120
"california",93,100
"california",93,34
"california",91,40
"oregon",91,20
"california",91,55
"california",91,45
"oregon",91,26
"california",91,28
"california",91,38
"california",91,44
"california",91,45
"california",91,50
"california",90,38
"california",90,64
"california",90,18
"california",90,40
"oregon",90,18
"california",90,30
"california",90,111
"oregon",90,32
"oregon",90,57
"california",90,34
"oregon",90,24
"california",88,45
"california",88,30
"california",88,39
"california",88,55
"california",88,22
"california",88,25
"oregon",88,48
"california",88,19
"california",88,18
"california",88,18
"oregon",88,65
"california",88,25
"california",88,48
"california",90,55
"california",90,46
"california",90,55
"california",90,30
"new york",90,25
"new york",90,27
"washington",90,28
"california",90,48
"california",90,36
"california",90,48
"california",90,60
"california",90,42
"california",90,45
"california",90,39
"california",90,25
"washington",90,40
"california",90,40
"california",90,85
"california",90,15
"california",86,18
"california",85,15
"california",85,15
"california",85,12
"california",85,18
"california",85,65
"california",89,20
"california",89,25
"california",89,36
"california",89,36
"california",89,30
"california",89,36
"oregon",89,45
"oregon",89,20
"oregon",89,28
"california",89,42
"oregon",89,14
"oregon",89,18
"california",89,39
"washington",87,28
"washington",87,36
"california",87,28
"california",87,18
"california",87,32
"washington",87,28
"washington",87,26
"california",87,32
"california",87,11
"washington",87,26
"california",87,19
"idaho",87,22
"washington",87,28
"california",87,28
"california",87,20
"california",87,25
"new york",87,16
"new york",87,18
"california",87,25
"oregon",90,48
"california",90,30
"oregon",90,18
"california",90,70
"california",90,25
"california",90,42
"california",90,50
"california",90,28
"california",90,22
"california",90,26
"california",90,80
"california",90,28
"california",90,50
"california",90,40
"california",90,22
"california",90,50
"california",90,55
"new york",90,37
"california",90,42
"california",90,60
"new york",90,27
"california",90,48
"california",90,45
"california",90,15
"california",90,40
"washington",92,35
"california",92,44
"california",92,32
"california",92,50
"california",92,27
"washington",92,15
"california",92,35
"california",92,33
"washington",92,140
"california",92,35
"washington",92,75
"california",92,40
"washington",92,21
"california",92,80
"washington",92,28
"california",92,40
"california",93,40
"california",93,65
"california",93,NA
"california",93,28
"california",93,51
"california",93,30
"california",93,45
"california",93,32
"oregon",93,125
"california",93,150
"california",93,60
"oregon",93,70
"oregon",93,60
"california",93,80
"california",93,32
"california",93,60
"california",93,45
"oregon",93,60
"california",93,80
"california",93,85
"california",89,39
"california",89,25
"california",89,31
"california",89,25
"oregon",89,18
"oregon",89,25
"california",89,65
"oregon",89,40
"california",89,26
"oregon",90,28
"california",90,40
"california",90,72
"california",90,44
"california",90,36
"california",90,70
"oregon",90,48
"california",90,125
"oregon",90,37
"oregon",90,28
"california",85,13
"california",85,20
"california",85,18
"california",85,100
"california",85,30
"oregon",91,65
"oregon",91,32
"california",91,36
"california",91,43
"oregon",91,65
"california",91,48
"california",91,42
"oregon",88,19
"california",88,21
"oregon",88,20
"virginia",88,25
"virginia",88,72
"california",88,70
"california",88,26
"virginia",88,19
"california",88,12
"california",88,22
"california",88,19
"california",88,40
"california",88,70
"california",87,34
"california",87,38
"new york",87,14
"washington",87,20
"washington",87,30
"new york",87,40
"new york",87,25
"idaho",87,23
"california",87,24
"california",87,16
"california",87,20
"california",87,12
"new york",87,20
"washington",87,28
"california",87,22
"washington",87,50
"california",87,28
"california",87,25
